area,bathrooms,building_type,date,deal_type,department,foreign_id,id,image_urls,images,location,price,rooms,title,url
857 Mts,3 Baños,Casa,2023-06-10 13:22:07.911521,Venta,Maldonado,22482047,600,https://imagenes.gallito.com/1024x768/48527896.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/48527896.jpg', 'path': 600, 'checksum': 'b01a022fe2eb51aa18c65196b9a5a988', 'status': 'downloaded'}]",Pinares,,4,"OPORTUNIDAD. Vende casa de camino a la laguna al mar, Playa",https://www.gallito.com.uy/oportunidad-vende-casa-de-camino-a-la-laguna-al-mar-playa-inmuebles-22482047
400 Mts,2 Baños,Casa,2023-06-10 13:22:11.001250,Venta,Maldonado,19879191,606,https://imagenes.gallito.com/1024x768/35695668.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/35695668.jpg', 'path': 606, 'checksum': '2160b6a71044be50247e549b33159fe2', 'status': 'downloaded'}]",Punta Piedras,,3,"CASA DE 3 DORMITORIOS EN PUNTA PIEDRAS, MANANTIALES",https://www.gallito.com.uy/casa-de-3-dormitorios-en-punta-piedras-manantiales-inmuebles-19879191
1055 Mts,3 Baños,Casa,2023-06-10 13:22:10.887476,Venta,Maldonado,22346377,601,https://imagenes.gallito.com/1024x768/44285202.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/44285202.jpg', 'path': 601, 'checksum': '1d32df5fbfb8c5d42979e31b2a8b1edc', 'status': 'downloaded'}]",Punta Del Este,,4,Casa en Venta Para Vivir todo el aÃ±o en Punta del Este Cin,https://www.gallito.com.uy/casa-en-venta-para-vivir-todo-el-a%C3%A3%C2%B1o-en-punta-del-este-cin-inmuebles-22346377
6500 Mts,Más de 3 baños,Casa,2023-06-10 13:22:10.931088,Venta,Maldonado,21797687,604,https://imagenes.gallito.com/1024x768/40018555.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/40018555.jpg', 'path': 604, 'checksum': '32f47e07d51dd6cfd477761d1b08e47c', 'status': 'downloaded'}]",San Rafael,,4,Casa en San Rafael 5dorm + dep. y parque de 6500 mts2,https://www.gallito.com.uy/casa-en-san-rafael-5dorm-dep-y-parque-de-6500-mts2-inmuebles-21797687
171 Mts,1 Baños,Casa,2023-06-10 13:22:11.025966,Venta,Montevideo,23867622,607,https://imagenes.gallito.com/1024x768/15759983332202.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/15759983332202.jpg', 'path': 607, 'checksum': 'ac2fb019ecfb882b0c82a3749ae475c1', 'status': 'downloaded'}]",Malvin Norte,,2,Venta Apartamento con 2 dormitorios en Malvin norte,https://www.gallito.com.uy/venta-apartamento-con-2-dormitorios-en-malvin-norte-inmuebles-23867622
104 Mts,1 Baños,Casa,2023-06-10 13:22:10.901801,Venta,Montevideo,23817398,602,https://imagenes.gallito.com/1024x768/48974876.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/48974876.jpg', 'path': 602, 'checksum': '47f6447c02a98ac6de017cbe3e0f9525', 'status': 'downloaded'}]",Tres Cruces,,2,VENTA PH DE ALTOS TRES CRUCES PARA RECICLAR,https://www.gallito.com.uy/venta-ph-de-altos-tres-cruces-para-reciclar-inmuebles-23817398
1750 Mts,Más de 3 baños,Casa,2023-06-10 13:22:07.567675,Venta,Maldonado,20730978,598,https://imagenes.gallito.com/1024x768/47909929.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/47909929.jpg', 'path': 598, 'checksum': '769c1ceb6977449c58da59a89f4c02a9', 'status': 'downloaded'}]",Punta Del Este,,4,"Casa en Venta, Golf, Punta del Este, 5 Dormitorios.",https://www.gallito.com.uy/casa-en-venta-golf-punta-del-este-5-dormitorios-inmuebles-20730978
412 Mts,1,Casa,2023-06-10 13:22:11.423496,Venta,Canelones,22959561,611,https://imagenes.gallito.com/1024x768/47913008.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/47913008.jpg', 'path': 611, 'checksum': '9a7ba41ea3d693e3dfc2ae1f2bae067e', 'status': 'downloaded'}]",La Floresta,,0,HERMOSA Y CÓMODA CASA A DOS CUADRAS DE LA PLAYA!,https://www.gallito.com.uy/hermosa-y-comoda-casa-a-dos-cuadras-de-la-playa-inmuebles-22959561
1096 Mts,Más de 3 baños,Casa,2023-06-10 13:22:11.401915,Venta,Maldonado,21963072,610,https://imagenes.gallito.com/1024x768/45688482.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/45688482.jpg', 'path': 610, 'checksum': 'c644b9babdd61a84eee9f985950e2838', 'status': 'downloaded'}]",Punta Del Este,,4,hermosa casa con todas las comodidades,https://www.gallito.com.uy/hermosa-casa-con-todas-las-comodidades-inmuebles-21963072
485 Mts,1 Baños,Casa,2023-06-10 13:22:11.050464,Venta,Canelones,21751735,608,https://imagenes.gallito.com/1024x768/48101575.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/48101575.jpg', 'path': 608, 'checksum': 'd074630bd17fc157404af3f695f83916', 'status': 'downloaded'}]",Parque Del Plata,,2,Casa de 2 dormitorios con piscina en Parque del Plata SUR,https://www.gallito.com.uy/casa-de-2-dormitorios-con-piscina-en-parque-del-plata-sur-inmuebles-21751735
166 Mts,2 Baños,Casa,2023-06-10 13:22:11.174768,Venta,Montevideo,21165233,609,https://imagenes.gallito.com/1024x768/46397209.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/46397209.jpg', 'path': 609, 'checksum': '4ac4558243d37f8277ac815a74b253eb', 'status': 'downloaded'}]",Malvin,,3,"Hermosa Casa, 3 d, 2 b, Cochera, Fondo, Parrillero",https://www.gallito.com.uy/hermosa-casa-3-d-2-b-cochera-fondo-parrillero-inmuebles-21165233
600 Mts,1 Baños,Casa,2023-06-10 13:22:11.644719,Venta,Maldonado,21279472,613,https://imagenes.gallito.com/1024x768/42265744.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/42265744.jpg', 'path': 613, 'checksum': '7ce47dbf23b5be31f6f6e9cc9ca26c89', 'status': 'downloaded'}]",Pinares,,3,"Casa en Punta del Este, Pinares",https://www.gallito.com.uy/casa-en-punta-del-este-pinares-inmuebles-21279472
271 Mts,Más de 3 baños,Casa,2023-06-10 13:22:11.616787,Venta,Maldonado,23064272,612,https://imagenes.gallito.com/1024x768/45764653.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/45764653.jpg', 'path': 612, 'checksum': '7cd1e22bb967229f746a225498f24422', 'status': 'downloaded'}]",Manantiales,,4,Apartamento en venta Manantiales 5 dormitorios - Moorea Bay,https://www.gallito.com.uy/apartamento-en-venta-manantiales-5-dormitorios-moorea-bay-inmuebles-23064272
250 Mts,2 Baños,Casa,2023-06-10 13:22:11.929552,Venta,Maldonado,23365333,616,https://imagenes.gallito.com/1024x768/48109562.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/48109562.jpg', 'path': 616, 'checksum': '81074136da25c04d2ca42465c0df8f86', 'status': 'downloaded'}]",Punta Del Este,,3,Casa de tres dormitorios en venta - Barrio La Residence...,https://www.gallito.com.uy/casa-de-tres-dormitorios-en-venta-barrio-la-residence-inmuebles-23365333
333 Mts,1 Baños,Casa,2023-06-10 13:22:11.700114,Venta,Maldonado,21271070,614,https://imagenes.gallito.com/1024x768/48092143.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/48092143.jpg', 'path': 614, 'checksum': 'f4d7f06c409ffaf5e1f7b120806602df', 'status': 'downloaded'}]",Maldonado,,3,"Casa en venta, Maldonado, a pasos del centro, excelente ori",https://www.gallito.com.uy/casa-en-venta-maldonado-a-pasos-del-centro-excelente-ori-inmuebles-21271070
635 Mts,3 Baños,Casa,2023-06-10 13:22:11.997080,Venta,Canelones,22016544,617,https://imagenes.gallito.com/1024x768/44609268.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/44609268.jpg', 'path': 617, 'checksum': '1aae68fc5a188d6645eff425a3c23e25', 'status': 'downloaded'}]",Guazú Virá,,2,Hermosa Casa Muy Cerca de la Playa,https://www.gallito.com.uy/hermosa-casa-muy-cerca-de-la-playa-inmuebles-22016544
1100 Mts,3 Baños,Casa,2023-06-10 13:22:12.129193,Venta,Maldonado,20651143,618,https://imagenes.gallito.com/1024x768/44519238.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/44519238.jpg', 'path': 618, 'checksum': '7871f58458a344e6b15ee792a878b338', 'status': 'downloaded'}]",Punta Del Este,,4,Venta casa en Playa  Mansa 4 dormitorios,https://www.gallito.com.uy/venta-casa-en-playa-mansa-4-dormitorios-inmuebles-20651143
1 Mts,Más de 3 baños,Casa,2023-06-10 13:22:11.836137,Venta,Maldonado,23302658,615,https://imagenes.gallito.com/1024x768/46800816.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/46800816.jpg', 'path': 615, 'checksum': 'b656647575a873c987cc55a0a10648a7', 'status': 'downloaded'}]",Punta Del Este,,4,"Casa en La Barra, 4 dormitorios *",https://www.gallito.com.uy/casa-en-la-barra-4-dormitorios-inmuebles-23302658
357 Mts,2 Baños,Casa,2023-06-10 13:22:12.197432,Venta,Montevideo,14957362,619,https://imagenes.gallito.com/1024x768/190118152204090.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/190118152204090.jpg', 'path': 619, 'checksum': '52d809ee043a8775151deb08e8964e66', 'status': 'downloaded'}]",Pocitos,,4,Excelente casa en Pocitos,https://www.gallito.com.uy/excelente-casa-en-pocitos-inmuebles-14957362
120 Mts,1,Casa,2023-06-10 13:22:12.317002,Venta,Rocha,23710950,620,https://imagenes.gallito.com/1024x768/48535732.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/48535732.jpg', 'path': 620, 'checksum': 'd7c17d7037779d8a1d5368988d499856', 'status': 'downloaded'}]",Aguas Dulces,,0,CASA  DE PLAYA TOTALMENTE AMUEBLADA!!!  EN AGUAS DULCES-R...,https://www.gallito.com.uy/casa-de-playa-totalmente-amueblada-en-aguas-dulces-r-inmuebles-23710950
337 Mts,3 Baños,Casa,2023-06-10 13:22:12.408775,Venta,Montevideo,21747144,621,https://imagenes.gallito.com/1024x768/48340707.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/48340707.jpg', 'path': 621, 'checksum': '3820ee8a49bd60db94040a3b04cc259f', 'status': 'downloaded'}]",Bolivar,,3,Venta casa Pu 2 plantas Bolivar,https://www.gallito.com.uy/venta-casa-pu-2-plantas-bolivar-inmuebles-21747144
,1 Baños,Casa,2023-06-10 13:22:12.590421,Venta,Montevideo,23781201,624,https://imagenes.gallito.com/1024x768/img_nodisponible.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/img_nodisponible.jpg', 'path': 460, 'checksum': '091cb54e86a1530d07cc478fe6ce0579', 'status': 'downloaded'}]",Villa Española,,2,VENDO 2 casas impecables U$S 83.000 tel 25064171,https://www.gallito.com.uy/casa-venta-montevideo-villa-espa%c3%b1ola-inmuebles-23781201
336 Mts,Más de 3 baños,Casa,2023-06-10 13:22:12.528443,Venta,Maldonado,20090321,622,https://imagenes.gallito.com/1024x768/32859470.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/32859470.jpg', 'path': 622, 'checksum': '14e679585e41dfdaa6b404df28d2b682', 'status': 'downloaded'}]",Piriápolis,,4,Casa en Piriápolis (Piriapolis) Zona Beaullieu Ref. 4316,https://www.gallito.com.uy/casa-en-piriapolis-piriapolis-zona-beaullieu-ref-4316-inmuebles-20090321
1 Mts,1 Baños,Casa,2023-06-10 13:22:12.683991,Venta,Montevideo,23147724,625,https://imagenes.gallito.com/1024x768/47996397.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/47996397.jpg', 'path': 625, 'checksum': 'ae8283354f01b46c4a8ca9cd65697a6a', 'status': 'downloaded'}]",Aguada,,2,Apartamento En Venta De 2 Dormitorios En Aguada,https://www.gallito.com.uy/apartamento-en-venta-de-2-dormitorios-en-aguada-inmuebles-23147724
200 Mts,2 Baños,Casa,2023-06-10 13:22:12.740316,Venta,Maldonado,23397447,626,https://imagenes.gallito.com/1024x768/47404546.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/47404546.jpg', 'path': 626, 'checksum': '7463abee3e8721e68bfb772f48ce32a2', 'status': 'downloaded'}]",Maldonado,,3,Casa - Maldonado. Casa de 3 dormitorios mas 2 apartamentos,https://www.gallito.com.uy/casa-maldonado-casa-de-3-dormitorios-mas-2-apartamentos-inmuebles-23397447
360 Mts,3 Baños,Casa,2023-06-10 13:22:12.562823,Venta,Montevideo,19707980,623,https://imagenes.gallito.com/1024x768/210505165405030.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/210505165405030.jpg', 'path': 623, 'checksum': '3a47a266d2d1c8e83336cd7a988e79fa', 'status': 'downloaded'}]",Punta Gorda,,4,"Prox a Rambla, muy buena casa 4 dormitorios fondo y barbacoa",https://www.gallito.com.uy/prox-a-rambla-muy-buena-casa-4-dormitorios-fondo-y-barbacoa-inmuebles-19707980
120 Mts,1 Baños,Casa,2023-06-10 13:22:12.806426,Venta,Maldonado,23548400,627,https://imagenes.gallito.com/1024x768/47942708.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/47942708.jpg', 'path': 627, 'checksum': '50a90df0822d17254be0826f9ec72e35', 'status': 'downloaded'}]",Punta Del Este,,3,Venta casa 3 dorm Parque Burnett,https://www.gallito.com.uy/venta-casa-3-dorm-parque-burnett-inmuebles-23548400
198 Mts,3 Baños,Casa,2023-06-10 13:22:12.931411,Venta,Montevideo,23868005,628,https://imagenes.gallito.com/1024x768/49190238.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/49190238.jpg', 'path': 628, 'checksum': 'b430f709b374546a1a654fce5b4c4d9c', 'status': 'downloaded'}]",La Blanqueada,,4,VENTA CASA 4 DORM LA BLANQUEADA CON GJE,https://www.gallito.com.uy/venta-casa-4-dorm-la-blanqueada-con-gje-inmuebles-23868005
298 Mts,Más de 3 baños,Casa,2023-06-10 13:22:13.052633,Venta,Maldonado,23251964,629,https://imagenes.gallito.com/1024x768/46540657.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/46540657.jpg', 'path': 629, 'checksum': 'c482e34ac3fabcde358dcc669e404791', 'status': 'downloaded'}]",San Rafael,,4,Casa - San Rafael,https://www.gallito.com.uy/casa-san-rafael-inmuebles-23251964
220 Mts,Más de 3 baños,Casa,2023-06-10 13:22:13.468374,Venta,Maldonado,23782277,632,https://imagenes.gallito.com/1024x768/48797849.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/48797849.jpg', 'path': 632, 'checksum': 'c8177b65bbdc00cb8f4b2ecf7f484ced', 'status': 'downloaded'}]",La Barra,,3,Gran apartamento en La Barra de 4 dormitorios,https://www.gallito.com.uy/gran-apartamento-en-la-barra-de-4-dormitorios-inmuebles-23782277
389 Mts,3 Baños,Casa,2023-06-10 13:22:13.118706,Venta,Montevideo,22690108,630,https://imagenes.gallito.com/1024x768/48645308.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/48645308.jpg', 'path': 630, 'checksum': 'ca3fad628b0729b81a8314928b37d889', 'status': 'downloaded'}]",La Blanqueada,,4,"Casa en venta, 5 dormitorios, 3 baÃ±os, garaje, barbacoa, f",https://www.gallito.com.uy/casa-en-venta-5-dormitorios-3-ba%C3%A3%C2%B1os-garaje-barbacoa-f-inmuebles-22690108
489 Mts,3 Baños,Casa,2023-06-10 13:22:13.447646,Venta,Montevideo,23340130,631,https://imagenes.gallito.com/1024x768/47512922.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/47512922.jpg', 'path': 631, 'checksum': 'bfdd02ba979f448653470f18b1e0589c', 'status': 'downloaded'}]",Pocitos,,3,Espectacular casa de categoría 3 dormitorios en Pocitos,https://www.gallito.com.uy/espectacular-casa-de-categoria-3-dormitorios-en-pocitos-inmuebles-23340130
602 Mts,Más de 3 baños,Casa,2023-06-10 13:22:13.539618,Venta,Maldonado,22248202,633,https://imagenes.gallito.com/1024x768/47586215.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/47586215.jpg', 'path': 633, 'checksum': 'a8cd9252d68173e0cfbfc087231b0a14', 'status': 'downloaded'}]",Pinares,,4,Especular casa en PINARES,https://www.gallito.com.uy/especular-casa-en-pinares-inmuebles-22248202
53 Mts,1 Baños,Casa,2023-06-10 13:22:13.747641,Venta,Montevideo,23872019,634,https://imagenes.gallito.com/1024x768/49198851.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/49198851.jpg', 'path': 634, 'checksum': '14b31b6165ff23a31df980150c3830b9', 'status': 'downloaded'}]",Brazo Oriental,,1,"Casa tipo dÃºplex en venta 1 dormitorio, 1 baÃ±o, patio con",https://www.gallito.com.uy/casa-tipo-d%C3%A3plex-en-venta-1-dormitorio-1-ba%C3%A3%C2%B1o-patio-con-inmuebles-23872019
180 Mts,2 Baños,Casa,2023-06-10 13:22:13.767341,Venta,Canelones,23081394,635,https://imagenes.gallito.com/1024x768/221223131349020.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/221223131349020.jpg', 'path': 635, 'checksum': 'c6dc5be14128fc36265f7420f5fb6382', 'status': 'downloaded'}]",San José De Carrasco,,3,CIUDAD DE LA COSTA   A cuadra de la Rambla SUR,https://www.gallito.com.uy/ciudad-de-la-costa-a-cuadra-de-la-rambla-sur-inmuebles-23081394
543 Mts,3 Baños,Casa,2023-06-10 13:22:13.795525,Venta,Maldonado,20498599,636,https://imagenes.gallito.com/1024x768/43056310.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/43056310.jpg', 'path': 636, 'checksum': '0e03b41731ab6a343ecb443c72b3bf3a', 'status': 'downloaded'}]",Punta Del Este,,4,"Casa en Mansa, a pasos del mar.",https://www.gallito.com.uy/casa-en-mansa-a-pasos-del-mar-inmuebles-20498599
307 Mts,3 Baños,Casa,2023-06-10 13:22:14.251139,Venta,Montevideo,23441761,637,https://imagenes.gallito.com/1024x768/47392384.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/47392384.jpg', 'path': 637, 'checksum': 'fdb04c32d5c1ba2d2996283fa1e6bd77', 'status': 'downloaded'}]",Parque Batlle,,4,Se Vende dos Casas en Parque Batlle,https://www.gallito.com.uy/se-vende-dos-casas-en-parque-batlle-inmuebles-23441761
740 Mts,3 Baños,Casa,2023-06-10 13:22:14.350841,Venta,Canelones,23689993,638,https://imagenes.gallito.com/1024x768/230502085429210.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/230502085429210.jpg', 'path': 638, 'checksum': '70c46bdcd97dca7fdf577f3a7c87e39d', 'status': 'downloaded'}]",Solymar,,4,Oportunidad 2 casas más 1 monoambiente en padrón único.,https://www.gallito.com.uy/oportunidad-2-casas-mas-1-monoambiente-en-padron-unico-inmuebles-23689993
190 Mts,3 Baños,Casa,2023-06-10 13:22:14.399147,Venta,Montevideo,23822912,639,https://imagenes.gallito.com/1024x768/49018012.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/49018012.jpg', 'path': 639, 'checksum': '65914190a66d0bc040d40263232d8027', 'status': 'downloaded'}]",Union,,4,Venta casa Union 10 dormitorios cochera y  jardin,https://www.gallito.com.uy/venta-casa-union-10-dormitorios-cochera-y-jardin-inmuebles-23822912
75 Mts,1 Baños,Casa,2023-06-10 13:22:14.631625,Venta,Montevideo,23405137,641,https://imagenes.gallito.com/1024x768/49271179.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/49271179.jpg', 'path': 641, 'checksum': 'e3ff6ab2d9952a6b8dce111995c82239', 'status': 'downloaded'}]",La Comercial,,3,Amezaga y Requena. Totalmente reciclada.,https://www.gallito.com.uy/amezaga-y-requena-totalmente-reciclada-inmuebles-23405137
277 Mts,3 Baños,Casa,2023-06-10 13:22:15.025504,Venta,Maldonado,23253037,643,https://imagenes.gallito.com/1024x768/46552647.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/46552647.jpg', 'path': 643, 'checksum': 'ea7ad2420898610a2045c3932a2703ad', 'status': 'downloaded'}]",Manantiales,,2,Departamento - Manantiales,https://www.gallito.com.uy/departamento-manantiales-inmuebles-23253037
320 Mts,Más de 3 baños,Casa,2023-06-10 13:22:14.974154,Venta,Montevideo,13834139,642,https://imagenes.gallito.com/1024x768/180516022246123.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/180516022246123.jpg', 'path': 642, 'checksum': '0a311e55fc92f31343f83ff314fd2c5a', 'status': 'downloaded'}]",Pocitos,,4,IMPECABLE DE GRAN CONSTRUCCIÓN ! ! ! CONCEPCIÓN MODERNA ! !,https://www.gallito.com.uy/impecable-de-gran-construccion-concepcion-moderna-inmuebles-13834139
240 Mts,3 Baños,Casa,2023-06-10 13:22:16.099207,Venta,Montevideo,21335526,645,https://imagenes.gallito.com/1024x768/220218202744250.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/220218202744250.jpg', 'path': 645, 'checksum': '088a1899b89a8ed39deb24364fc026d2', 'status': 'downloaded'}]",Malvin,,3,"HERMOSO BARRIO COUNTRY ""JARDINES DE CARRASCO"" ! ! ! SOLEADO",https://www.gallito.com.uy/hermoso-barrio-country-jardines-de-carrasco-soleado-inmuebles-21335526
