area,bathrooms,building_type,date,deal_type,id,image_urls,images,location,price,rooms,title,url
61 Mts,1 Baños,Apartamento,2023-06-03 18:02:47.251383,Alquiler,,https://imagenes.gallito.com/1024x768/230416171228150.jpg,,Ciudad Vieja, $U 22.500,2,Hermoso apartamento al frente con balcón con vista al mar.,https://www.gallito.com.uy/hermoso-apartamento-al-frente-con-balcon-con-vista-al-mar-inmuebles-23619839
75 Mts,1 Baños,Apartamento,2023-06-03 18:02:47.403617,Venta,,https://imagenes.gallito.com/1024x768/230219220003870.jpg,,Malvin, U$S 199.000,3,OPORTUNIDAD!!!   EN RAMBLA HERMOSO APARTAMENTO EN MALVIN!!!,https://www.gallito.com.uy/oportunidad-en-rambla-hermoso-apartamento-en-malvin-inmuebles-23355895
64 Mts,2 Baños,Apartamento,2023-06-03 18:02:47.416402,Venta,,https://imagenes.gallito.com/1024x768/221228180840220.jpg,,Pocitos, U$S 210.000,2,DIRI JOSE ELLAURI Y PEREIRA - 2DORM + 2 BAÑOS C/GGE,https://www.gallito.com.uy/diri-jose-ellauri-y-pereira-2dorm-2-ba%C3%B1os-cgge-inmuebles-23103670
89 Mts,2 Baños,Apartamento,2023-06-03 18:02:47.428735,Venta,,https://imagenes.gallito.com/1024x768/48958971.jpg,,Ciudad Vieja, U$S 105.000,3,VENTA DE OFICINA EN PLAZA MATRIZ,https://www.gallito.com.uy/venta-de-oficina-en-plaza-matriz-inmuebles-23547919
55 Mts,1 Baños,Apartamento,2023-06-03 18:02:47.440455,Alquiler,,https://imagenes.gallito.com/1024x768/48889505.jpg,,Centro, $U 25.000,1,Apartamento - Centro (Montevideo),https://www.gallito.com.uy/apartamento-centro-montevideo-inmuebles-23695601
260 Mts,3 Baños,Apartamento,2023-06-03 18:02:47.452944,Venta,,https://imagenes.gallito.com/1024x768/48564601.jpg,,Punta Del Este, U$S 520.000,2,Espectacular Pent-house en Punta del Este,https://www.gallito.com.uy/espectacular-pent-house-en-punta-del-este-inmuebles-18619448
135 Mts,1 Baños,Apartamento,2023-06-03 18:02:47.465086,Venta,,https://imagenes.gallito.com/1024x768/47059925.jpg,,Punta Del Este, U$S 370.000,3,PRIMERA LINEA DE PLAYA BRAVA,https://www.gallito.com.uy/primera-linea-de-playa-brava-inmuebles-16478321
69 Mts,2 Baños,Apartamento,2023-06-03 18:02:47.501397,Venta,,https://imagenes.gallito.com/1024x768/48948203.jpg,,Parque Batlle, U$S 190.000,3,Apartamento en Venta,https://www.gallito.com.uy/apartamento-en-venta-inmuebles-21245921
5815 Mts,1 Baños,Apartamento,2023-06-03 18:02:47.514015,Venta,,https://imagenes.gallito.com/1024x768/230530130522670.jpg,,Centro, U$S 160.000,2,Moderno apartamento a estrenar en el Centro de Montevideo,https://www.gallito.com.uy/moderno-apartamento-a-estrenar-en-el-centro-de-montevideo-inmuebles-23836966
area,bathrooms,building_type,date,deal_type,id,image_urls,images,location,price,rooms,title,url
65 Has.,1 Baños,Apartamento,2023-06-03 18:04:19.414710,Venta,,https://imagenes.gallito.com/1024x768/211006201432040.jpg,,Malvin Norte, U$S 65.000,2,"Vendo ap 2dorm sobre CaminoCarrasco U$ 65000,reja perimetral",https://www.gallito.com.uy/vendo-ap-2dorm-sobre-caminocarrasco-us-65000-reja-perimetral-inmuebles-20580231
94 Mts,2 Baños,Apartamento,2023-06-03 18:04:19.579532,Venta,,https://imagenes.gallito.com/1024x768/47861565.jpg,,Carrasco, U$S 325.000,2,Venta de Apartamento en PARQUE MIRAMAR,https://www.gallito.com.uy/venta-de-apartamento-en-parque-miramar-inmuebles-22841453
52 Mts,1 Baños,Apartamento,2023-06-03 18:04:19.708475,Venta,,https://imagenes.gallito.com/1024x768/48359476.jpg,,Malvin, U$S 139.000,1,Vendo apartamento de 1 dormitorio en Malvin,https://www.gallito.com.uy/vendo-apartamento-de-1-dormitorio-en-malvin-inmuebles-22018674
65 Mts,1 Baños,Apartamento,2023-06-03 18:04:19.722219,Venta,,https://imagenes.gallito.com/1024x768/230405173525860.jpg,,Colon, U$S 48.000,3,Dueño vende Apartamento 3 D -SIN DEUDA - EXCELENTE UBICACIÓN,https://www.gallito.com.uy/due%C3%B1o-vende-apartamento-3-d-sin-deuda-excelente-ubicacion-inmuebles-23564522
59 Mts,1 Baños,Apartamento,2023-06-03 18:04:19.734013,Venta,,https://imagenes.gallito.com/1024x768/48473413.jpg,,Pocitos, U$S 194.000,2,Venta apartamento de dos dormitorios a estrenar. Pocitos,https://www.gallito.com.uy/venta-apartamento-de-dos-dormitorios-a-estrenar-pocitos-inmuebles-21218608
160 Mts,3 Baños,Apartamento,2023-06-03 18:04:19.746903,Alquiler,,https://imagenes.gallito.com/1024x768/48676827.jpg,,Pinares, U$S 1.000,3,SE ALQUILA POR INVIERNO !! PENT HOUSE !! 3 DORMITORIOS !! P,https://www.gallito.com.uy/se-alquila-por-invierno-pent-house-3-dormitorios-p-inmuebles-23424778
42 Mts,1 Baños,Apartamento,2023-06-03 18:04:19.758914,Venta,,https://imagenes.gallito.com/1024x768/img_nodisponible.jpg,,Pocitos, U$S 178.000,1,Excelente a pasos de la playa.,https://www.gallito.com.uy/excelente-a-pasos-de-la-playa-inmuebles-23855981
155 Mts,2 Baños,Apartamento,2023-06-03 18:04:19.771622,Venta,,https://imagenes.gallito.com/1024x768/48829147.jpg,,Punta Gorda, U$S 294.433,3,"Venta 3 dorm con balcón y terraza, Punta Gorda",https://www.gallito.com.uy/venta-3-dorm-con-balcon-y-terraza-punta-gorda-inmuebles-22884885
