area,bathrooms,building_type,date,deal_type,id,image_urls,images,location,price,rooms,title,url
80 Mts,1 Baños,Casa,2023-06-05 21:26:19.793157,Venta,18,https://imagenes.gallito.com/1024x768/49046292.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/49046292.jpg', 'path': 18, 'checksum': '1348202b856833ad6386bb8b657d4283', 'status': 'uptodate'}]",Solymar, U$S 137.000,2,venta Casa en Solymar de dos dormitorios,https://www.gallito.com.uy/venta-casa-en-solymar-de-dos-dormitorios-inmuebles-23636358
560 Mts,3 Baños,Casa,2023-06-05 21:26:19.818658,Venta,19,https://imagenes.gallito.com/1024x768/230412115732160.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/230412115732160.jpg', 'path': 19, 'checksum': '1b589b572a3531d0245c69ca56a31dbb', 'status': 'uptodate'}]",Paso Molino, U$S 350,4,2 CASAS y GARAGE EN UN SOLO PADRÓN,https://www.gallito.com.uy/2-casas-y-garage-en-un-solo-padron-inmuebles-23604791
231 Mts,2 Baños,Casa,2023-06-05 21:26:19.917935,Venta,20,https://imagenes.gallito.com/1024x768/48329943.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/48329943.jpg', 'path': 20, 'checksum': '6eab286512b641054d08366b2b2579ac', 'status': 'uptodate'}]",La Blanqueada, U$S 180.000,3,Casa en Venta,https://www.gallito.com.uy/casa-en-venta-inmuebles-23273181
100 Mts,1 Baños,Casa,2023-06-05 21:26:19.942714,Venta,21,https://imagenes.gallito.com/1024x768/220420212952680.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/220420212952680.jpg', 'path': 21, 'checksum': 'afd24ce5eadaddf4abbae36a7b2064c9', 'status': 'uptodate'}]",Parque Batlle, U$S 220.000,2,"Casa De Diseño En Parque Batlle, Impecable En Padrón Único",https://www.gallito.com.uy/casa-de-dise%C3%B1o-en-parque-batlle-impecable-en-padron-unico-inmuebles-21674700
120 Mts,2 Baños,Casa,2023-06-05 21:26:19.964907,Venta,22,https://imagenes.gallito.com/1024x768/230509112134560.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/230509112134560.jpg', 'path': 22, 'checksum': '40f74e0991a6d08613b76572e58393f0', 'status': 'uptodate'}]",Pocitos, U$S 320.000,2,CASA POCITOS CON TERRAZA Y GARAJE,https://www.gallito.com.uy/casa-pocitos-con-terraza-y-garaje-inmuebles-23734800
1 Mts,3 Baños,Casa,2023-06-05 21:26:19.987288,Venta,23,https://imagenes.gallito.com/1024x768/48242038.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/48242038.jpg', 'path': 23, 'checksum': 'a9908942637f75b02122d1ff7eda48ca', 'status': 'uptodate'}]",Otra, U$S 860.000,3,Vendo casa en  San Nicolás etapa 3 y 4,https://www.gallito.com.uy/vendo-casa-en-san-nicolas-etapa-3-y-4-inmuebles-23636365
10 Mts,1 Baños,Casa,2023-06-05 21:26:20.009773,Venta,24,https://imagenes.gallito.com/1024x768/46983741.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/46983741.jpg', 'path': 24, 'checksum': 'f4d57e592b89a7ecb678d7dba14958ce', 'status': 'uptodate'}]",La Tahona, U$S 390.000,4,OPORTUNIDAD 2 CASAS EN CUMBRES DE CARRASCO!!!,https://www.gallito.com.uy/oportunidad-2-casas-en-cumbres-de-carrasco-inmuebles-23340217
314 Mts,Más de 3 baños,Casa,2023-06-05 21:26:20.030920,Venta,25,https://imagenes.gallito.com/1024x768/220621170315610.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/220621170315610.jpg', 'path': 25, 'checksum': '550df0628068317cae22664df05e4a99', 'status': 'uptodate'}]",Cordon, U$S 230.000,4,"Oportunidad, Sólida Construcción, Oficinas, Vivienda, Etc...",https://www.gallito.com.uy/oportunidad-solida-construccion-oficinas-vivienda-etc-inmuebles-22045546
507 Mts,3 Baños,Casa,2023-06-05 21:26:20.053284,Venta,26,https://imagenes.gallito.com/1024x768/220813142921150.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/220813142921150.jpg', 'path': 26, 'checksum': '248005d7a4eb4315831a7d59c2fe9172', 'status': 'uptodate'}]",Parque Del Plata, U$S 190.000,3,PROXIMA AL MAR Y AVENIDA,https://www.gallito.com.uy/proxima-al-mar-y-avenida-inmuebles-22367962
70 Mts,1 Baños,Casa,2023-06-05 21:26:20.139214,Venta,27,https://imagenes.gallito.com/1024x768/48605777.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/48605777.jpg', 'path': 27, 'checksum': '251e1c999ffbb7d08871a3db1e337a04', 'status': 'uptodate'}]",Costa Azul, U$S 140.000,3,Venta casa  Costa Azul tres dormitorios,https://www.gallito.com.uy/venta-casa-costa-azul-tres-dormitorios-inmuebles-21496974
244 Mts,1 Baños,Casa,2023-06-05 21:26:20.162901,Venta,28,https://imagenes.gallito.com/1024x768/48437284.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/48437284.jpg', 'path': 28, 'checksum': 'c5e4cb894a4e72e22859b474bdfe3c2f', 'status': 'uptodate'}]",Cerrito, U$S 75.000,2,VENTA TERRENO CON MEJORAS CERRITO MONTEVIDEO,https://www.gallito.com.uy/venta-terreno-con-mejoras-cerrito-montevideo-inmuebles-23690419
159 Mts,1 Baños,Casa,2023-06-05 21:26:20.187631,Venta,29,https://imagenes.gallito.com/1024x768/47574620.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/47574620.jpg', 'path': 29, 'checksum': 'dc8df55e0e54a5cc3218f2c9422520b6', 'status': 'uptodate'}]",Las Piedras, U$S 95.000,2,VENTA CASA 2 DORM LAS PIEDRAS 680 M2 TERR. COCHERA,https://www.gallito.com.uy/venta-casa-2-dorm-las-piedras-680-m2-terr-cochera-inmuebles-23472657
427 Mts,Más de 3 baños,Casa,2023-06-05 21:26:20.209913,Venta,30,https://imagenes.gallito.com/1024x768/46960265.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/46960265.jpg', 'path': 30, 'checksum': 'a3f4e3a80f10bcaa044998692f88ddfe', 'status': 'uptodate'}]",Carrasco, U$S 720.000,3,Casa en venta a estrenar en Barrio Parques,https://www.gallito.com.uy/casa-en-venta-a-estrenar-en-barrio-parques-inmuebles-23337662
